Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1417411980,300,300,300,300,0.01,3,300
1417412040,300,300,300,300,0.01,3,300
1417412100,300,300,300,300,0.01,3,300
1417412160,300,300,300,300,0.01,3,300
1417412220,300,300,300,300,0.01,3,300
1417412280,300,300,300,300,0.01,3,300
1417412340,300,300,300,300,0.01,3,300
1417412400,300,300,300,300,0.01,3,300
1417412460,300,300,300,300,0.01,3,300
1417412520,300,300,300,300,0.01,3,300
1417412580,300,300,300,300,0.01,3,300
1417412640,300,300,300,300,0.01,3,300
1417412700,300,300,300,300,0.01,3,300
1417412760,300,300,300,300,0.01,3,300
1417412820,300,300,300,300,0.01,3,300
1417412880,300,300,300,300,0.01,3,300
1417412940,300,300,300,300,0.01,3,300
1417413000,300,300,300,300,0.01,3,300
1417413060,300,300,300,300,0.01,3,300
1417413120,300,300,300,300,0.01,3,300
1417413180,300,300,300,300,0.01,3,300
1417413240,300,300,300,300,0.01,3,300
1417413300,300,300,300,300,0.01,3,300
1417413360,300,300,300,300,0.01,3,300
1417413420,300,300,300,300,0.01,3,300
1417413480,300,300,300,300,0.01,3,300
1417413540,300,300,300,300,0.01,3,300
1417413600,300,300,300,300,0.01,3,300
1417413660,300,300,300,300,0.01,3,300
1417413720,300,300,300,300,0.01,3,300
1417413780,300,300,300,300,0.01,3,300
1417413840,300,300,300,300,0.01,3,300
